"""","男_１次活動(分)","男_睡 眠(分)","男_身の回りの用事(分)","男_食 事(分)","男_２次 活動(分)","男_通勤・通学(分)","男_仕 事(分)","男_学 業(分)","男_家 事(分)","男_介護・看護(分)","男_育 児(分)","男_買い物(分)","女：有業者_１次活動(分)","女：有業者_睡 眠(分)","女：有業者_身の回りの用事(分)","女：有業者_食 事(分)","女：有業者_２次 活動(分)","女：有業者_通勤・通学(分)","女：有業者_仕 事(分)","女：有業者_学 業(分)","女：有業者_家 事(分)","女：有業者_介護・看護(分)","女：有業者_育 児(分)","女：有業者_買い物(分)","女：無業者_１次活動(分)","女：無業者_睡 眠(分)","女：無業者_身の回りの用事(分)","女：無業者_食 事(分)","女：無業者_２次 活動(分)","女：無業者_通勤・通学(分)","女：無業者_仕 事(分)","女：無業者_学 業(分)","女：無業者_家 事(分)","女：無業者_介護・看護(分)","女：無業者_育 児(分)","女：無業者_買い物(分)","男_３次 活動(分)","男_移動(通勤・通学を除く)(分)","男_ﾃﾚﾋﾞ･ﾗｼﾞｵ･新聞･雑誌(分)","男_休養･くつろぎ(分)","男_学習･研究(学業以外) (分)","男_趣味・娯楽(分)","男_ｽﾎﾟｰﾂ(分)","男_ﾎﾞﾗﾝﾃｨｱ活動･社会参加活動(分)","男_交際・付き合い(分)","男_受診・療養(分)","男_その他(分)","女：有業者_３次 活動(分)","女：有業者_移動(通勤・通学を除く)(分)","女：有業者_ﾃﾚﾋﾞ･ﾗｼﾞｵ･新聞･雑誌(分)","女：有業者_休養･くつろぎ(分)","女：有業者_学習･研究(学業以外) (分)","女：有業者_趣味・娯楽(分)","女：有業者_ｽﾎﾟｰﾂ(分)","女：有業者_ﾎﾞﾗﾝﾃｨｱ活動･社会参加活動(分)","女：有業者_交際・付き合い(分)","女：有業者_受診・療養(分)","女：有業者_その他(分)","女：無業者_３次 活動(分)","女：無業者_移動(通勤・通学を除く)(分)","女：無業者_ﾃﾚﾋﾞ･ﾗｼﾞｵ･新聞･雑誌(分)","女：無業者_休養･くつろぎ(分)","女：無業者_学習･研究(学業以外) (分)","女：無業者_趣味・娯楽(分)","女：無業者_ｽﾎﾟｰﾂ(分)","女：無業者_ﾎﾞﾗﾝﾃｨｱ活動･社会参加活動(分)","女：無業者_交際・付き合い(分)","女：無業者_受診・療養(分)","女：無業者_その他(分)"
" 15  ～  24歳 ","723.0","566.0","77.0","81.0","177.0","17.0","102.0","35.0","5.0","-","-","18.0","688.0","512.0","98.0","78.0","273.0","15.0","158.0","1.0","16.0","-","19.0","64.0","714.0","555.0","63.0","97.0","162.0","6.0","-","78.0","31.0","6.0","20.0","21.0","539.0","43.0","80.0","87.0","47.0","149.0","71.0","-","52.0","1.0","9.0","480.0","63.0","90.0","81.0","-","129.0","14.0","-","91.0","5.0","7.0","564.0","43.0","109.0","100.0","117.0","71.0","24.0","21.0","25.0","15.0","38.0"
" 25  ～  34 ","646.0","492.0","63.0","92.0","249.0","11.0","174.0","9.0","6.0","-","23.0","26.0","660.0","475.0","96.0","89.0","288.0","15.0","102.0","-","82.0","2.0","45.0","42.0","708.0","497.0","102.0","109.0","317.0","-","-","2.0","138.0","-","106.0","71.0","545.0","43.0","146.0","182.0","5.0","83.0","10.0","11.0","53.0","-","12.0","492.0","53.0","184.0","99.0","9.0","72.0","6.0","2.0","56.0","-","11.0","414.0","48.0","144.0","84.0","-","87.0","1.0","5.0","21.0","14.0","12.0"
" 35  ～  44 ","672.0","501.0","83.0","89.0","228.0","11.0","160.0","1.0","13.0","1.0","11.0","30.0","636.0","457.0","84.0","95.0","396.0","12.0","90.0","1.0","199.0","2.0","45.0","47.0","732.0","503.0","118.0","111.0","291.0","-","1.0","2.0","138.0","1.0","94.0","55.0","540.0","45.0","198.0","94.0","9.0","107.0","15.0","19.0","34.0","-","18.0","407.0","58.0","114.0","84.0","4.0","55.0","12.0","16.0","38.0","2.0","24.0","418.0","29.0","178.0","87.0","0.0","70.0","9.0","-","17.0","-","27.0"
" 45  ～  54 ","668.0","499.0","67.0","103.0","233.0","15.0","145.0","-","20.0","6.0","16.0","31.0","656.0","438.0","114.0","104.0","390.0","8.0","109.0","0.0","217.0","3.0","4.0","49.0","635.0","442.0","76.0","117.0","376.0","-","13.0","-","255.0","35.0","18.0","56.0","539.0","67.0","204.0","104.0","6.0","66.0","18.0","21.0","29.0","1.0","23.0","394.0","46.0","163.0","66.0","3.0","41.0","7.0","7.0","17.0","-","43.0","429.0","76.0","166.0","63.0","3.0","70.0","-","22.0","11.0","3.0","16.0"
" 55  ～  64 ","663.0","492.0","64.0","108.0","224.0","13.0","155.0","-","25.0","3.0","5.0","24.0","653.0","452.0","98.0","104.0","424.0","15.0","175.0","3.0","181.0","1.0","9.0","40.0","680.0","471.0","98.0","111.0","297.0","0.0","1.0","-","236.0","5.0","12.0","43.0","552.0","32.0","266.0","98.0","9.0","74.0","17.0","7.0","19.0","5.0","25.0","363.0","29.0","161.0","71.0","2.0","41.0","8.0","10.0","23.0","2.0","17.0","464.0","64.0","187.0","76.0","8.0","47.0","13.0","13.0","24.0","3.0","29.0"
" 65  ～  74 ","696.0","502.0","80.0","114.0","155.0","4.0","75.0","-","44.0","2.0","2.0","28.0","693.0","484.0","97.0","112.0","363.0","3.0","139.0","1.0","182.0","2.0","-","36.0","683.0","465.0","99.0","119.0","272.0","0.0","2.0","3.0","217.0","6.0","1.0","43.0","589.0","27.0","283.0","98.0","5.0","74.0","24.0","8.0","31.0","6.0","34.0","384.0","9.0","182.0","107.0","-","38.0","2.0","8.0","30.0","-","8.0","485.0","34.0","211.0","74.0","4.0","62.0","9.0","4.0","35.0","9.0","44.0"
" 75  ～ ","742.0","554.0","67.0","122.0","123.0","1.0","48.0","1.0","43.0","3.0","1.0","26.0","679.0","499.0","68.0","111.0","259.0","2.0","129.0","15.0","97.0","4.0","-","13.0","740.0","533.0","93.0","114.0","182.0","0.0","5.0","-","152.0","5.0","-","21.0","574.0","22.0","280.0","158.0","4.0","55.0","13.0","7.0","17.0","1.0","19.0","503.0","21.0","281.0","127.0","9.0","9.0","-","-","57.0","-","1.0","517.0","13.0","248.0","150.0","5.0","43.0","5.0","4.0","11.0","10.0","29.0"
